402,Almaty,43.25,76.9,Kazakhstan,KAZ,1916822
403,Dayr az Zawr,35.3333,40.15,Syria,SYR,1918000
404,Vienna,48.2083,16.3731,Austria,AUT,1911191
405,Leeds,53.7997,-1.5492,United Kingdom,GBR,1901934
406,Sacramento,38.5667,-121.4683,United States,USA,1898019
407,Blantyre,-15.7861,35.0058,Malawi,MWI,1895973
408,Tainan,22.9833,120.1833,Taiwan,TWN,1883831
409,Zhuhai,22.2769,113.5678,China,CHN,1891100
410,Bucharest,44.4,26.0833,Romania,ROU,1883425
411,Wuwei,37.9278,102.6329,China,CHN,1890000
412,Bhopal,23.25,77.4167,India,IND,1883381
413,Curitiba,-25.4297,-49.2719,Brazil,BRA,1879355
414,Multan,30.1978,71.4711,Pakistan,PAK,1871843
415,Xiping,40.08,113.3,China,CHN,1873000
416,Asuncion,-25.3,-57.6333,Paraguay,PRY,1870000
417,Saidu Sharif,34.75,72.3572,Pakistan,PAK,1860310
418,Hamburg,53.55,10,Germany,DEU,1841179
419,Meru,0.05,37.65,Kenya,KEN,1833000
420,Brazzaville,-4.2667,15.2833,Congo (Brazzaville),COG,1827000
421,Orlando,28.4772,-81.3369,United States,USA,1822394
422,Mersin,36.8,34.6167,Turkey,TUR,1814468
423,Kyoto,35.0111,135.7669,Japan,JPN,1805000
424,Manaus,-3.1,-60.0167,Brazil,BRA,1802014
425,Liaoyang,41.2643,123.1772,China,CHN,1800000
426,Baiyin,36.5448,104.1766,China,CHN,1799000
427,San Jose,37.3019,-121.8486,United States,USA,1798103
428,Warsaw,52.2167,21.0333,Poland,POL,1790658
429,Shengli,37.45,118.4667,China,CHN,1790000
430,Lubumbashi,-11.6697,27.4581,Congo (Kinshasa),COD,1786397
431,Haikou,20.02,110.32,China,CHN,1776141
432,Damascus,33.5131,36.2919,Syria,SYR,1754000
433,Shuyangzha,34.1299,118.7734,China,CHN,1770000
434,Brussels,50.8333,4.3333,Belgium,BEL,1743000
435,Esfahan,32.6447,51.6675,Iran,IRN,1756126
436,Budapest,47.4983,19.0408,Hungary,HUN,1752286
437,Heihe,50.2458,127.4886,China,CHN,1750000
438,Lusaka,-15.4167,28.2833,Zambia,ZMB,1742979
439,Hyderabad City,25.3792,68.3683,Pakistan,PAK,1732693
440,Diyarbakir,37.9108,40.2367,Turkey,TUR,1732396
441,Chinchvad,18.6278,73.8131,India,IND,1729320
442,Shuozhou,39.3408,112.4292,China,CHN,1714857
443,Cleveland,41.4767,-81.6804,United States,USA,1710093
444,Pittsburgh,40.4396,-79.9762,United States,USA,1703266
445,Patna,25.61,85.1414,India,IND,1684222
446,Mosul,36.3667,43.1167,Iraq,IRQ,1694000
447,Austin,30.3004,-97.7522,United States,USA,1687311
448,Sanzhou,30.82,108.4,China,CHN,1680000
449,Mecca,21.4225,39.8261,Saudi Arabia,SAU,1675368
450,Conakry,9.5092,-13.7122,Guinea,GIN,1667864
451,Kampala,0.3136,32.5811,Uganda,UGA,1659600
452,Ecatepec,19.6097,-99.06,Mexico,MEX,1656107
453,Cincinnati,39.1413,-84.5061,United States,USA,1662691
454,Makassar,-5.1331,119.4136,Indonesia,IDN,1651146
455,Yushan,31.3867,120.9766,China,CHN,1651200
456,Ludhiana,30.9083,75.8486,India,IND,1649000
457,Newcastle,55.0077,-1.6578,United Kingdom,GBR,1650000
458,Depok,-6.394,106.8225,Indonesia,IDN,1631951
459,Zhongli,24.965,121.2168,Taiwan,TWN,1632616
460,Kansas City,39.1239,-94.5541,United States,USA,1636715
461,Ouagadougou,12.3572,-1.5353,Burkina Faso,BFA,1626950
462,Davao,7.0667,125.6,Philippines,PHL,1632991
463,Manhattan,40.7834,-73.9662,United States,USA,1628706
464,Semarang,-6.9667,110.4167,Indonesia,IDN,1621384
465,Yinchuan,38.4795,106.2254,China,CHN,1616000
466,Caloocan City,14.65,120.9667,Philippines,PHL,1583978
467,Novosibirsk,55.0333,82.9167,Russia,RUS,1602915
468,Chengtangcun,35.0833,117.15,China,CHN,1603659
469,Agra,27.18,78.02,India,IND,1585705
470,Karaj,35.8327,50.9915,Iran,IRN,1592492
471,Indianapolis,39.7771,-86.1458,United States,USA,1588961
472,Jingdezhen,29.2942,117.2036,China,CHN,1587477
473,Puebla,19.0333,-98.1833,Mexico,MEX,1576259
474,Kalyan,19.2502,73.1602,India,IND,1576614
475,Madurai,9.9197,78.1194,India,IND,1561129
476,Benxi,41.292,123.761,China,CHN,1567000
477,Jamshedpur,22.8,86.1833,India,IND,1558000
478,Recife,-8.0539,-34.8808,Brazil,BRA,1555039
479,Columbus,39.9862,-82.985,United States,USA,1562009
480,Tabriz,38.0833,46.2833,Iran,IRN,1558693
481,Maracaibo,10.6333,-71.6333,Venezuela,VEN,1551539
482,Zhangjiajie,29.1255,110.4844,China,CHN,1549200
