119,Comoros,Moroni,Africa,AF,KMF,COM,921929,http://localhost:5000/get_country/Comoros,http://localhost:5000/get_country/continent/Africa
120,Saint Kitts and Nevis,Basseterre,North America,NA,XCD,KNA,3575174,http://localhost:5000/get_country/Saint%20Kitts%20and%20Nevis,http://localhost:5000/get_country/continent/North%20America
121,North Korea,Pyongyang,Asia,AS,KPW,PRK,1873107,http://localhost:5000/get_country/North%20Korea,http://localhost:5000/get_country/continent/Asia
122,South Korea,Seoul,Asia,AS,KRW,KOR,1835841,http://localhost:5000/get_country/South%20Korea,http://localhost:5000/get_country/continent/Asia
123,Kuwait,Kuwait City,Asia,AS,KWD,KWT,285570,http://localhost:5000/get_country/Kuwait,http://localhost:5000/get_country/continent/Asia
124,Cayman Islands,George Town,North America,NA,KYD,CYM,3580718,http://localhost:5000/get_country/Cayman%20Islands,http://localhost:5000/get_country/continent/North%20America
125,Kazakhstan,Astana,Asia,AS,KZT,KAZ,1522867,http://localhost:5000/get_country/Kazakhstan,http://localhost:5000/get_country/continent/Asia
126,Laos,Vientiane,Asia,AS,LAK,LAO,1655842,http://localhost:5000/get_country/Laos,http://localhost:5000/get_country/continent/Asia
127,Lebanon,Beirut,Asia,AS,LBP,LBN,272103,http://localhost:5000/get_country/Lebanon,http://localhost:5000/get_country/continent/Asia
128,Saint Lucia,Castries,North America,NA,XCD,LCA,3576468,http://localhost:5000/get_country/Saint%20Lucia,http://localhost:5000/get_country/continent/North%20America
129,Liechtenstein,Vaduz,Europe,EU,CHF,LIE,3042058,http://localhost:5000/get_country/Liechtenstein,http://localhost:5000/get_country/continent/Europe
130,Sri Lanka,Colombo,Asia,AS,LKR,LKA,1227603,http://localhost:5000/get_country/Sri%20Lanka,http://localhost:5000/get_country/continent/Asia
131,Liberia,Monrovia,Africa,AF,LRD,LBR,2275384,http://localhost:5000/get_country/Liberia,http://localhost:5000/get_country/continent/Africa
132,Lesotho,Maseru,Africa,AF,LSL,LSO,932692,http://localhost:5000/get_country/Lesotho,http://localhost:5000/get_country/continent/Africa
133,Lithuania,Vilnius,Europe,EU,EUR,LTU,597427,http://localhost:5000/get_country/Lithuania,http://localhost:5000/get_country/continent/Europe
134,Luxembourg,Luxembourg,Europe,EU,EUR,LUX,2960313,http://localhost:5000/get_country/Luxembourg,http://localhost:5000/get_country/continent/Europe
135,Latvia,Riga,Europe,EU,EUR,LVA,458258,http://localhost:5000/get_country/Latvia,http://localhost:5000/get_country/continent/Europe
136,Libya,Tripoli,Africa,AF,LYD,LBY,2215636,http://localhost:5000/get_country/Libya,http://localhost:5000/get_country/continent/Africa
137,Morocco,Rabat,Africa,AF,MAD,MAR,2542007,http://localhost:5000/get_country/Morocco,http://localhost:5000/get_country/continent/Africa
138,Monaco,Monaco,Europe,EU,EUR,MCO,2993457,http://localhost:5000/get_country/Monaco,http://localhost:5000/get_country/continent/Europe
139,Moldova,Chişinău,Europe,EU,MDL,MDA,617790,http://localhost:5000/get_country/Moldova,http://localhost:5000/get_country/continent/Europe
140,Montenegro,Podgorica,Europe,EU,EUR,MNE,3194884,http://localhost:5000/get_country/Montenegro,http://localhost:5000/get_country/continent/Europe
141,Saint Martin,Marigot,North America,NA,EUR,MAF,3578421,http://localhost:5000/get_country/Saint%20Martin,http://localhost:5000/get_country/continent/North%20America
142,Madagascar,Antananarivo,Africa,AF,MGA,MDG,1062947,http://localhost:5000/get_country/Madagascar,http://localhost:5000/get_country/continent/Africa
143,Marshall Islands,Majuro,Oceania,OC,USD,MHL,2080185,http://localhost:5000/get_country/Marshall%20Islands,http://localhost:5000/get_country/continent/Oceania
144,North Macedonia,Skopje,Europe,EU,MKD,MKD,718075,http://localhost:5000/get_country/North%20Macedonia,http://localhost:5000/get_country/continent/Europe
145,Mali,Bamako,Africa,AF,XOF,MLI,2453866,http://localhost:5000/get_country/Mali,http://localhost:5000/get_country/continent/Africa
146,Myanmar [Burma],Nay Pyi Taw,Asia,AS,MMK,MMR,1327865,http://localhost:5000/get_country/Myanmar%20[Burma],http://localhost:5000/get_country/continent/Asia
147,Mongolia,Ulan Bator,Asia,AS,MNT,MNG,2029969,http://localhost:5000/get_country/Mongolia,http://localhost:5000/get_country/continent/Asia
148,Macao,Macao,Asia,AS,MOP,MAC,1821275,http://localhost:5000/get_country/Macao,http://localhost:5000/get_country/continent/Asia
149,Northern Mariana Islands,Saipan,Oceania,OC,USD,MNP,4041468,http://localhost:5000/get_country/Northern%20Mariana%20Islands,http://localhost:5000/get_country/continent/Oceania
150,Martinique,Fort-de-France,North America,NA,EUR,MTQ,3570311,http://localhost:5000/get_country/Martinique,http://localhost:5000/get_country/continent/North%20America
151,Mauritania,Nouakchott,Africa,AF,MRO,MRT,2378080,http://localhost:5000/get_country/Mauritania,http://localhost:5000/get_country/continent/Africa
152,Montserrat,Plymouth,North America,NA,XCD,MSR,3578097,http://localhost:5000/get_country/Montserrat,http://localhost:5000/get_country/continent/North%20America
153,Malta,Valletta,Europe,EU,EUR,MLT,2562770,http://localhost:5000/get_country/Malta,http://localhost:5000/get_country/continent/Europe
154,Mauritius,Port Louis,Africa,AF,MUR,MUS,934292,http://localhost:5000/get_country/Mauritius,http://localhost:5000/get_country/continent/Africa
155,Maldives,Malé,Asia,AS,MVR,MDV,1282028,http://localhost:5000/get_country/Maldives,http://localhost:5000/get_country/continent/Asia
156,Malawi,Lilongwe,Africa,AF,MWK,MWI,927384,http://localhost:5000/get_country/Malawi,http://localhost:5000/get_country/continent/Africa
157,Mexico,Mexico City,North America,NA,MXN,MEX,3996063,http://localhost:5000/get_country/Mexico,http://localhost:5000/get_country/continent/North%20America
158,Malaysia,Kuala Lumpur,Asia,AS,MYR,MYS,1733045,http://localhost:5000/get_country/Malaysia,http://localhost:5000/get_country/continent/Asia
